City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
port blair,11.6667,92.75,78.85,60,59,5.84,IN,1614476243
rikitea,-23.1203,-134.9692,76.37,75,46,15.64,PF,1614475975
ushuaia,-54.8,-68.3,69.8,35,0,6.24,AR,1614476204
petropavlovsk-kamchatskiy,53.0452,158.6483,32.0,51,87,13.42,RU,1614476232
saint george,37.1041,-113.5841,46.4,17,1,25.32,US,1614476189
esperance,-33.8667,121.9,66.2,72,75,12.66,AU,1614476245
khatanga,71.9667,102.5,-36.78,79,24,2.44,RU,1614476296
puerto ayora,-0.7393,-90.3518,79.0,93,100,4.0,EC,1614476216
mataura,-46.1927,168.8643,64.99,82,100,3.0,NZ,1614476237
lebu,-37.6167,-73.65,58.01,81,0,18.48,CL,1614476225
whitehorse,60.7161,-135.0538,27.0,80,75,13.8,CA,1614476263
svetlaya,46.5389,138.3297,35.76,82,100,12.21,RU,1614476563
kisangani,0.5167,25.2,72.01,82,3,1.66,CD,1614476563
albany,42.6001,-73.9662,42.01,85,38,1.99,US,1614475970
barrow,71.2906,-156.7887,-13.0,70,90,8.05,US,1614476215
bela,25.9333,81.9833,69.73,33,0,5.28,IN,1614476563
butaritari,3.0707,172.7902,81.25,79,55,14.9,KI,1614476206
new norfolk,-42.7826,147.0587,75.99,34,3,1.99,AU,1614476238
hermanus,-34.4187,19.2345,69.01,82,96,8.01,ZA,1614476252
yarmouth,41.7057,-70.2286,50.0,93,90,6.91,US,1614476311
hasaki,35.7333,140.8333,48.0,49,20,2.3,JP,1614476228
pangnirtung,66.1451,-65.7125,-34.28,76,80,0.45,CA,1614476267
hilo,19.7297,-155.09,75.2,73,75,11.5,US,1614476164
alekseyevka,50.6309,38.6903,32.7,93,99,9.55,RU,1614476564
sao felix do xingu,-6.6447,-51.995,72.91,94,100,1.19,BR,1614476565
ancud,-41.8697,-73.8203,57.99,88,90,4.61,CL,1614476213
fredericton,45.9454,-66.6656,35.6,100,90,11.5,CA,1614476289
upernavik,72.7868,-56.1549,3.38,90,100,20.87,GL,1614476221
coquimbo,-29.9533,-71.3436,60.8,88,20,9.22,CL,1614476239
tuktoyaktuk,69.4541,-133.0374,-29.2,68,20,5.75,CA,1614476213
hanko,59.8333,22.95,37.0,69,47,1.01,FI,1614476566
los llanos de aridane,28.6585,-17.9182,60.8,59,90,8.05,ES,1614476566
bethel,41.3712,-73.414,42.01,87,1,3.44,US,1614476235
cape town,-33.9258,18.4232,70.0,72,0,1.14,ZA,1614476149
port lincoln,-34.7333,135.8667,66.29,66,57,10.36,AU,1614476278
fortuna,40.5982,-124.1573,48.99,66,1,16.11,US,1614476176
tuatapere,-46.1333,167.6833,64.99,82,87,3.0,NZ,1614476296
ust-nera,64.5667,143.2,-13.72,94,32,3.6,RU,1614476567
xinzhi,36.4989,111.7047,42.87,80,100,1.36,CN,1614476567
repalle,16.0167,80.85,75.2,100,20,1.99,IN,1614476568
ponta do sol,32.6667,-17.1,55.0,64,8,1.99,PT,1614476229
yamada,39.4667,141.95,44.19,38,0,5.95,JP,1614476568
bredasdorp,-34.5322,20.0403,69.8,83,100,13.8,ZA,1614476206
abalak,58.1286,68.5944,-16.98,88,98,8.63,RU,1614476569
castro,-24.7911,-50.0119,62.98,93,94,10.54,BR,1614476223
mount isa,-20.7333,139.5,93.2,14,55,9.22,AU,1614476425
qaanaaq,77.484,-69.3632,17.71,82,100,0.47,GL,1614476251
sao joao da barra,-21.6403,-41.0511,76.01,89,100,8.99,BR,1614476413
horta,38.5333,-28.6333,59.02,83,100,20.31,PT,1614476569
kavieng,-2.5744,150.7967,83.91,74,98,8.52,PG,1614476254
san andres,12.5847,-81.7006,80.6,78,20,13.8,CO,1614476570
pacific grove,36.6177,-121.9166,53.01,80,0,10.0,US,1614476337
ugoofaaru,5.6667,73.0,82.2,70,91,2.44,MV,1614476570
genhe,50.7833,121.5167,-1.01,82,1,4.63,CN,1614476570
mar del plata,-38.0023,-57.5575,69.01,100,75,10.36,AR,1614476389
chuy,-33.6971,-53.4616,69.94,79,0,11.25,UY,1614476258
tecoanapa,16.5167,-98.75,76.19,78,0,2.51,MX,1614476571
imeni poliny osipenko,52.4201,136.4853,10.63,93,95,2.73,RU,1614476571
aksehir,38.3575,31.4164,37.58,74,0,0.6,TR,1614476572
monster,52.0258,4.175,39.0,100,20,1.14,NL,1614476572
bandundu,-3.3167,17.3667,73.54,86,17,3.71,CD,1614476572
san mateo del mar,16.2,-95.0,79.84,76,0,10.27,MX,1614476572
rawson,-43.3002,-65.1023,75.92,50,89,19.13,AR,1614476573
tiksi,71.6872,128.8694,-27.04,86,85,3.09,RU,1614476240
gladstone,-23.85,151.25,84.2,61,90,14.97,AU,1614476262
avarua,-21.2078,-159.775,82.4,89,90,13.8,CK,1614476243
hobart,-42.8794,147.3294,75.99,59,40,8.05,AU,1614476238
muros,42.7762,-9.0603,48.0,81,24,1.99,ES,1614476318
arraial do cabo,-22.9661,-42.0278,77.58,87,100,18.72,BR,1614476236
erzin,36.9559,36.2,48.99,64,0,13.0,TR,1614476574
belaya gora,68.5333,146.4167,-23.03,86,98,1.03,RU,1614476574
rocha,-34.4833,-54.3333,65.44,90,0,7.61,UY,1614476574
ilabaya,-17.4208,-70.5133,67.86,67,38,2.89,PE,1614476574
east london,-33.0153,27.9116,70.63,84,49,11.7,ZA,1614476248
russell,32.3502,-85.1999,69.8,88,20,3.18,US,1614476491
houston,29.7633,-95.3633,73.99,88,90,14.97,US,1614475922
jamestown,42.097,-79.2353,32.0,96,1,2.64,US,1614476179
berlevag,70.8578,29.0864,31.03,97,100,11.83,NO,1614476276
kloulklubed,7.0419,134.2556,86.0,70,75,10.36,PW,1614476215
isangel,-19.55,169.2667,84.2,70,20,9.22,VU,1614476290
dikson,73.5069,80.5464,-15.23,88,100,20.83,RU,1614476242
comodoro rivadavia,-45.8667,-67.5,64.4,94,75,3.44,AR,1614476284
jaciara,-15.9653,-54.9683,71.71,93,2,1.54,BR,1614476576
gigmoto,13.7796,124.39,83.21,73,15,10.58,PH,1614476576
yeppoon,-23.1333,150.7333,87.8,58,75,12.66,AU,1614476522
grootfontein,-19.5667,18.1167,60.8,94,7,6.15,NA,1614476577
opuwo,-18.0607,13.84,65.84,64,27,2.73,NA,1614476243
gat,31.61,34.7642,53.01,100,0,6.22,IL,1614476260
port elizabeth,-33.918,25.5701,69.8,88,90,9.22,ZA,1614476267
port hardy,50.6996,-127.4199,37.4,100,90,4.61,CA,1614476233
umm lajj,25.0213,37.2685,69.42,61,0,9.53,SA,1614476578
san cristobal,7.7669,-72.225,67.68,90,97,1.32,VE,1614476421
punta arenas,-53.15,-70.9167,64.4,52,0,16.11,CL,1614476220
jumla,29.2747,82.1838,42.85,61,3,2.71,NP,1614476578
atuona,-9.8,-139.0333,80.26,79,78,12.01,PF,1614476216
porto novo,6.4965,2.6036,79.88,82,0,7.07,BJ,1614476465
barao de melgaco,-16.1944,-55.9675,78.8,94,0,5.75,BR,1614476579
nome,64.5011,-165.4064,-0.4,55,1,10.36,US,1614476227
cherskiy,68.75,161.3,-20.74,85,0,1.54,RU,1614476405
ocos,14.5094,-92.1933,82.4,69,75,5.75,GT,1614476579
bambous virieux,-20.3428,57.7575,77.0,88,75,6.91,MU,1614476245
hithadhoo,-0.6,73.0833,82.27,62,100,4.9,MV,1614476238
novyy urengoy,66.0833,76.6333,-27.36,86,53,7.49,RU,1614476350
sur,22.5667,59.5289,69.31,65,0,9.53,OM,1614476328
coari,-4.085,-63.1414,74.86,96,100,2.15,BR,1614476294
noumea,-22.2763,166.4572,87.01,61,0,13.8,NC,1614476291
nemuro,43.3236,145.575,24.8,68,0,11.5,JP,1614476288
kisanga,-7.4362,37.7034,72.66,87,100,2.08,TZ,1614476581
orocue,4.7912,-71.3354,82.74,54,17,8.03,CO,1614476581
empangeni,-28.762,31.8933,63.45,92,1,3.09,ZA,1614476581
fairbanks,64.8378,-147.7164,16.0,85,90,4.74,US,1614476403
japura,-0.3167,102.35,83.26,61,2,2.71,ID,1614476582
bluff,-46.6,168.3333,64.99,82,60,3.0,NZ,1614476205
bengkulu,-3.8004,102.2655,83.59,61,0,1.1,ID,1614476202
vao,-22.6667,167.4833,77.52,75,81,15.77,NC,1614476430
vaini,-21.2,-175.2,82.4,69,75,3.44,TO,1614476207
asau,46.4333,26.4,41.0,75,90,16.11,RO,1614476454
guaruja,-23.9931,-46.2564,75.0,26,98,7.36,BR,1614476583
nantucket,41.2835,-70.0995,45.0,100,90,11.5,US,1614476482
port alfred,-33.5906,26.891,70.0,95,30,5.99,ZA,1614476250
victoria,22.2855,114.1577,68.0,85,98,17.31,HK,1614476177
beruwala,6.4788,79.9828,76.01,83,65,5.19,LK,1614476229
chara,56.9064,118.2631,-14.46,70,96,0.31,RU,1614476584
boyolangu,-8.1181,111.8935,78.62,81,100,1.12,ID,1614476584
yellowknife,62.456,-114.3525,-22.0,56,1,6.91,CA,1614476213
ulkan,57.243,107.3223,-7.46,86,100,5.39,RU,1614476585
busselton,-33.65,115.3333,66.99,71,100,5.01,AU,1614476129
codrington,-38.2667,141.9667,67.32,56,99,7.07,AU,1614476249
faanui,-16.4833,-151.75,83.68,71,9,9.28,PF,1614476214
sawakin,19.1059,37.3321,70.63,73,0,4.14,SD,1614476585
vila velha,-20.3297,-40.2925,75.2,88,40,2.53,BR,1614476244
saint-pierre,-21.3393,55.4781,77.0,61,0,4.61,RE,1614476244
thompson,55.7435,-97.8558,-9.4,54,75,3.44,CA,1614476229
noyabrsk,63.1994,75.4507,-20.09,98,61,5.35,RU,1614476218
vila franca do campo,37.7167,-25.4333,59.0,94,20,5.53,PT,1614476266
narsaq,60.9167,-46.05,21.2,53,20,5.75,GL,1614476301
mkushi,-13.6202,29.3939,63.9,95,100,3.69,ZM,1614476586
richards bay,-28.783,32.0377,68.32,84,47,2.06,ZA,1614476346
ndele,8.4109,20.6473,72.84,23,0,5.21,CF,1614476587
chapais,49.7834,-74.8492,24.8,93,90,4.61,CA,1614476337
hobyo,5.3505,48.5268,76.86,80,100,15.99,SO,1614476587
grindavik,63.8424,-22.4338,39.2,81,75,27.63,IS,1614476200
luderitz,-26.6481,15.1594,64.27,84,0,5.17,NA,1614476300
kapaa,22.0752,-159.319,73.4,73,90,20.71,US,1614476211
zimovniki,47.1483,42.4633,32.5,97,100,5.97,RU,1614476588
dicabisagan,17.0818,122.4157,80.53,76,73,6.2,PH,1614476341
mahon,39.8885,4.2658,46.4,93,20,9.22,ES,1614476588
cognac,45.5,-0.25,42.8,70,0,3.44,FR,1614476588
ilulissat,69.2167,-51.1,12.2,67,90,14.97,GL,1614476277
ust-kulom,61.6864,53.6902,-10.32,89,0,3.2,RU,1614476589
torit,4.4133,32.5678,78.73,36,19,2.68,SS,1614476589
saint-philippe,-21.3585,55.7679,77.0,61,0,4.61,RE,1614476237
chokurdakh,70.6333,147.9167,-22.83,87,3,0.83,RU,1614476230
ushtobe,45.2514,77.9838,23.23,59,82,2.46,KZ,1614476447
te anau,-45.4167,167.7167,68.0,70,99,1.83,NZ,1614476478
mahebourg,-20.4081,57.7,77.0,88,75,6.91,MU,1614476257
palaikastron,35.2,26.25,53.01,73,2,12.64,GR,1614476590
uhlove,44.8215,33.6045,41.0,59,100,3.0,UA,1614476590
pemberton,50.3164,-122.8027,33.8,64,90,5.75,CA,1614476400
xuddur,4.1213,43.8894,66.18,90,1,16.22,SO,1614476591
cap malheureux,-19.9842,57.6142,77.0,83,9,3.0,MU,1614476441
bloemhof,-27.6469,25.607,61.99,69,0,6.42,ZA,1614476591
chicama,-7.8447,-79.1469,73.58,64,68,3.76,PE,1614476327
poum,-20.2333,164.0167,80.96,73,94,16.02,NC,1614476435
dotnuva,55.35,23.9,33.8,80,0,10.36,LT,1614476592
ribeira grande,38.5167,-28.7,60.08,83,100,22.59,PT,1614476229
yadgir,16.7667,77.1333,75.51,25,0,2.75,IN,1614476592
saskylakh,71.9167,114.0833,-25.92,77,99,3.53,RU,1614476253
saint-augustin,51.226,-58.6502,20.88,95,67,11.95,CA,1614476593
forio,40.7342,13.8646,55.99,81,0,1.01,IT,1614476593
severo-kurilsk,50.6789,156.125,25.18,93,81,27.69,RU,1614476265
kalmunai,7.4167,81.8167,77.34,75,71,1.1,LK,1614476593
chlorakas,34.8042,32.4083,50.0,81,0,10.36,CY,1614476594
esna,25.2934,32.554,55.4,67,0,8.88,EG,1614476594
tchamba,9.0333,1.4167,75.97,70,93,3.27,TG,1614476594
yatou,37.15,122.3833,47.01,59,100,8.12,CN,1614476594
kodiak,57.79,-152.4072,39.2,87,90,5.75,US,1614476271
souillac,-20.5167,57.5167,77.0,88,75,6.91,MU,1614476210
puerto escondido,15.85,-97.0667,80.6,78,40,4.61,MX,1614476044
gizo,-8.103,156.8419,81.45,79,100,7.31,SB,1614476595
lorengau,-2.0226,147.2712,84.11,75,100,10.09,PG,1614476300
georgetown,5.4112,100.3354,78.8,83,20,4.61,MY,1614475944
luanda,-8.8368,13.2343,77.0,88,75,4.61,AO,1614476477
jizan,17.3333,42.6667,75.2,83,0,3.44,SA,1614476596
sitka,57.0531,-135.33,42.8,81,90,11.5,US,1614476347
chinhoyi,-17.3667,30.2,61.88,95,100,6.06,ZW,1614476596
sale,34.0389,-6.8166,55.99,100,75,4.85,MA,1614476576
terrace,54.5163,-128.6035,33.8,93,90,18.41,CA,1614476342
chiredzi,-21.05,31.6667,65.43,94,100,10.07,ZW,1614476597
beroroha,-21.6667,45.1667,74.73,90,97,2.68,MG,1614476597
abu samrah,35.3029,37.1841,47.93,53,0,4.03,SY,1614476597
la victoria,10.2184,-67.3302,80.6,78,20,2.3,VE,1614476597
longyearbyen,78.2186,15.6401,21.2,68,75,6.91,SJ,1614476277
luena,-11.7833,19.9167,60.67,94,3,4.76,AO,1614476598
hay river,60.8156,-115.7999,-20.2,63,100,3.44,CA,1614476598
kyrylivka,46.3759,35.3675,37.98,90,97,12.41,UA,1614476599
itoman,26.1247,127.6694,73.4,68,20,9.22,JP,1614476278
saldanha,-33.0117,17.9442,75.2,50,0,8.05,ZA,1614476291
gadsden,34.0143,-86.0066,69.8,78,90,3.44,US,1614476599
qazanbulaq,40.6192,46.6519,35.6,75,20,6.91,AZ,1614476600
lamu,-2.2717,40.902,76.37,90,4,8.55,KE,1614476600
longyan,25.1072,117.0225,66.0,64,90,2.68,CN,1614476600
flinders,-34.5833,150.8552,82.0,65,1,4.0,AU,1614476309
aklavik,68.2191,-135.0107,-22.0,69,9,3.44,CA,1614476412
moose factory,51.2585,-80.6094,-11.2,77,1,3.44,CA,1614476340
tasiilaq,65.6145,-37.6368,30.2,93,90,11.5,GL,1614476234
capreol,46.706,-80.9225,36.0,86,75,6.91,CA,1614476523
nouadhibou,20.931,-17.0347,60.8,77,0,19.57,MR,1614476333
qaqortoq,60.7167,-46.0333,21.2,53,20,5.75,GL,1614476489
punta alta,-38.8759,-62.0736,82.24,28,0,18.16,AR,1614476601
podgornoye,51.735,39.1496,30.2,86,75,2.24,RU,1614476602
meulaboh,4.1363,96.1285,83.34,69,20,3.27,ID,1614476427
mount gambier,-37.8333,140.7667,69.8,52,96,6.91,AU,1614476428
salalah,17.0151,54.0924,80.6,12,0,10.36,OM,1614476265
sobolevo,54.4299,31.8996,30.7,98,100,9.06,RU,1614476438
puerto colombia,10.9878,-74.9547,78.8,78,0,17.27,CO,1614476307
haines junction,60.7522,-137.5108,26.6,59,100,1.14,CA,1614476603
otradnoye,59.7775,30.8181,33.01,88,100,6.29,RU,1614476603
lovozero,68.005,35.0117,21.79,91,100,3.47,RU,1614476603
pudozh,61.8099,36.5345,24.22,98,100,2.39,RU,1614476604
kaitangata,-46.2817,169.8464,66.0,93,98,8.01,NZ,1614476205
olafsvik,64.8945,-23.7142,37.83,78,91,39.71,IS,1614476263
usak,38.5,29.4167,40.6,70,0,3.56,TR,1614476604
goundam,16.4145,-3.6708,68.18,20,3,7.67,ML,1614476604
portalegre,39.2938,-7.4312,48.99,89,28,4.12,PT,1614476605
sujiatun,41.6592,123.3392,42.8,49,90,4.47,CN,1614476605
kuah,6.3265,99.8432,78.8,78,20,2.3,MY,1614476365
pierre,44.3683,-100.351,32.0,69,90,14.97,US,1614476605
dembi dolo,8.5333,34.8,61.41,54,5,3.67,ET,1614476606
sinnamary,5.3833,-52.95,76.66,85,38,14.85,GF,1614476606
port hedland,-20.3167,118.5667,89.6,51,0,11.5,AU,1614476314
ostrovnoy,68.0531,39.5131,18.07,96,53,10.22,RU,1614476421
itaituba,-4.2761,-55.9836,80.6,94,75,1.81,BR,1614476453
sebezh,56.2955,28.4654,29.89,97,100,7.74,RU,1614476607
samarai,-10.6167,150.6667,84.96,73,22,9.91,PG,1614476331
luanshya,-13.1367,28.4166,61.34,97,93,3.58,ZM,1614476607
uige,-7.6087,15.0613,66.36,98,71,2.53,AO,1614476607
rudnya,54.947,31.0934,30.61,90,100,10.58,RU,1614476607
san jose,37.3394,-121.895,61.0,36,40,16.11,US,1614476252
auki,-8.7676,160.7034,77.25,90,100,16.8,SB,1614476453
darab,28.7519,54.5444,47.16,51,0,3.91,IR,1614476608
cardston,49.2,-113.3019,24.8,63,50,3.44,CA,1614476608
lompoc,34.6391,-120.4579,57.2,54,20,13.8,US,1614476253
marsh harbour,26.5412,-77.0636,75.43,81,0,14.41,BS,1614476122
kudahuvadhoo,2.6708,72.8944,81.1,64,42,3.6,MV,1614476230
balkanabat,39.5108,54.3671,41.92,57,99,0.83,TM,1614476609
lata,40.1629,-8.3327,51.01,93,40,3.44,PT,1614476315
torbay,47.6666,-52.7314,21.0,73,1,12.66,CA,1614476119
punta cardon,11.6581,-70.215,77.38,77,94,22.75,VE,1614476609
atagay,55.1033,99.3875,-2.99,89,100,4.79,RU,1614476610
half moon bay,37.4636,-122.4286,57.2,76,1,18.41,US,1614476247
sao filipe,14.8961,-24.4956,68.31,72,1,13.38,CV,1614476298
puerto ayacucho,5.6639,-67.6236,80.35,58,100,7.49,VE,1614476287
ofaqim,31.3141,34.6203,46.99,100,1,10.31,IL,1614476610
matane,48.8286,-67.522,30.2,100,90,6.91,CA,1614476611
tanout,14.9709,8.8879,67.95,12,0,14.05,NE,1614476409
nambutalai,9.7167,79.0,77.45,68,0,1.25,IN,1614476611
point pedro,9.8167,80.2333,78.53,70,0,8.59,LK,1614476611
clyde river,70.4692,-68.5914,-14.8,76,1,20.71,CA,1614476227
malanje,-9.5402,16.341,61.95,96,100,3.42,AO,1614476612
goderich,43.7501,-81.7165,30.2,93,6,1.14,CA,1614476505
airai,-8.9266,125.4092,71.24,82,85,2.51,TL,1614476323
calama,-22.4667,-68.9333,66.2,45,20,10.36,CL,1614476612
pedernales,18.0384,-71.744,77.07,65,3,11.77,DO,1614476613
danane,7.2596,-8.155,70.61,96,53,0.94,CI,1614476613
leh,34.1667,77.5833,11.46,81,89,2.33,IN,1614476613
bentiu,9.2333,29.8333,73.29,20,44,4.54,SS,1614476613
hede,33.7681,120.2517,52.79,82,94,11.59,CN,1614476613
mehamn,71.0357,27.8492,33.96,93,100,9.95,NO,1614476613
henties bay,-22.116,14.2845,63.0,90,42,3.0,NA,1614476614
koumac,-20.5667,164.2833,83.53,62,74,7.78,NC,1614476614
abeche,13.8292,20.8324,70.23,23,0,7.7,TD,1614476311
brae,60.3964,-1.353,44.6,87,20,19.57,GB,1614476614
daru,-9.0763,143.2092,85.71,69,100,10.22,PG,1614476615
fontenay-le-comte,46.5833,-1.0,41.0,81,0,4.61,FR,1614476615
machali,-34.1833,-70.6667,70.2,37,0,1.23,CL,1614476615
luoyang,34.6836,112.4536,45.0,1,100,2.82,CN,1614476615
lodja,-3.4833,23.4333,70.39,91,54,1.34,CD,1614476616
dieppe,49.75,1.1667,39.99,93,6,11.5,FR,1614476616
north bend,43.4065,-124.2243,48.2,66,20,5.75,US,1614476353
general roca,-39.0333,-67.5833,84.2,54,20,2.3,AR,1614476273
nikolskoye,59.7035,30.7861,33.01,86,0,6.71,RU,1614476311
corowa,-36.0333,146.3833,82.0,31,0,4.38,AU,1614476617
sorong,-0.8833,131.25,85.48,72,14,13.91,ID,1614476452
pisco,-13.7,-76.2167,73.4,78,0,4.61,PE,1614476220
tucuman,-26.8241,-65.2226,77.0,83,0,5.75,AR,1614476340
kavaratti,10.5669,72.642,81.99,75,0,10.4,IN,1614476295
dogondoutchi,13.6393,4.0287,73.58,19,35,8.84,NE,1614476617
aquidauana,-20.4711,-55.7872,75.97,79,0,5.97,BR,1614476400
qostanay,53.1667,63.5833,15.8,92,90,6.71,KZ,1614476618
maputo,-25.9653,32.5892,72.0,83,40,8.05,MZ,1614476618
waipawa,-41.4122,175.5153,75.2,57,75,10.36,NZ,1614476457
sola,-13.8833,167.55,82.08,79,100,13.47,VU,1614476450
tak,16.5833,98.8333,69.8,64,0,6.91,TH,1614476619
yumen,40.2833,97.2,23.16,59,100,14.65,CN,1614476448
labranzagrande,5.5622,-72.575,69.55,68,90,0.89,CO,1614476619
laminusa,5.5549,120.9136,82.38,72,96,2.93,PH,1614476619
black river,18.0264,-77.8487,78.8,73,20,11.5,JM,1614476620
mayo,38.8876,-76.5119,45.0,100,1,5.08,US,1614476402
yei,4.095,30.6779,67.19,45,0,1.86,SS,1614476404
paamiut,61.994,-49.6678,15.37,87,95,11.3,GL,1614476444
alice springs,-23.7,133.8833,91.4,12,0,5.75,AU,1614476272
olot,42.181,2.4901,43.0,94,14,1.99,ES,1614476621
tautira,-17.7333,-149.15,84.2,74,40,16.11,PF,1614476465
stephenville,32.2207,-98.2023,68.0,83,90,4.61,US,1614476622
kastamonu,41.5,33.6667,33.64,92,0,4.68,TR,1614476623
kismayo,-0.3582,42.5454,77.07,87,16,12.75,SO,1614476623
mogadishu,2.0371,45.3438,76.77,85,32,15.68,SO,1614476506
mackenzie,55.2999,-123.1698,24.8,86,90,10.36,CA,1614476263
bathsheba,13.2167,-59.5167,77.0,65,20,23.02,BB,1614476309
masingbi,8.7833,-11.95,77.47,82,85,1.19,SL,1614476623
shubarshi,48.5872,57.1869,34.38,97,100,14.9,KZ,1614476624
puerto quijarro,-17.7833,-57.7667,79.12,63,1,2.51,BO,1614476624
hailar,49.2,119.7,-2.85,73,0,15.61,CN,1614476624
roald,62.5833,6.1333,45.0,81,90,20.71,NO,1614476486
doha,25.2867,51.5333,62.6,51,0,5.75,QA,1614476279
ust-ishim,57.6935,71.1665,-17.93,87,100,8.12,RU,1614476625
koppies,-27.2418,27.5742,56.5,83,25,12.08,ZA,1614476625
baoding,38.8511,115.4903,41.56,87,100,4.29,CN,1614476625
katsuura,35.1333,140.3,44.6,49,20,4.61,JP,1614476207
leningradskiy,69.3833,178.4167,-11.58,95,100,7.23,RU,1614476285
matara,5.9485,80.5353,76.46,82,51,2.91,LK,1614476206
bubaque,11.2833,-15.8333,77.29,61,0,16.58,GW,1614476291
asuncion,-25.3007,-57.6359,84.2,61,0,4.61,PY,1614476585
tarauaca,-8.1614,-70.7656,73.8,95,100,1.43,BR,1614476626
portland,45.5234,-122.6762,50.0,46,75,8.05,US,1614476220
adana,36.985,35.2881,46.4,81,0,4.9,TR,1614476627
itarema,-2.9248,-39.9167,77.81,84,90,7.94,BR,1614476337
camapua,-19.5314,-54.0439,70.66,91,0,5.95,BR,1614476474
northam,51.0333,-4.2167,39.0,89,0,1.99,GB,1614476627
la romana,18.4273,-68.9728,75.2,88,20,5.75,DO,1614476627
maceio,-9.6658,-35.7353,75.2,94,40,3.44,BR,1614476385
sarakhs,36.5449,61.1577,32.0,43,0,4.61,IR,1614476628
iqaluit,63.7506,-68.5145,-25.6,68,75,4.97,CA,1614476224
salvador,13.8333,-88.9167,82.4,69,0,9.22,SV,1614476628
ajaccio,42.0,8.9167,44.6,93,0,6.91,FR,1614476629
san quintin,30.4833,-115.95,57.49,82,0,9.55,MX,1614476278
foam lake,51.65,-103.5343,-0.4,71,82,11.5,CA,1614476411
maniitsoq,65.4167,-52.9,13.41,95,100,17.05,GL,1614476469
provideniya,64.3833,-173.3,1.4,60,0,1.79,RU,1614476272
algiers,36.7525,3.042,44.6,93,40,1.14,DZ,1614476210
macamic,48.7502,-78.9996,19.4,79,90,14.97,CA,1614476630
klaksvik,62.2266,-6.589,46.4,93,75,17.27,FO,1614476254
santa maria,-29.6842,-53.8069,73.4,83,0,9.22,BR,1614476630
norman wells,65.282,-126.8329,-14.8,58,20,12.66,CA,1614476301
avera,33.194,-82.5271,66.2,82,1,2.82,US,1614476630
stykkisholmur,65.0757,-22.7297,35.73,85,80,34.69,IS,1614476631
cururupu,-1.8283,-44.8683,75.06,95,100,2.95,BR,1614476276
ponta delgada,37.7333,-25.6667,59.0,94,20,7.99,PT,1614476484
cidreira,-30.1811,-50.2056,74.68,76,4,19.3,BR,1614476234
nanortalik,60.1432,-45.2371,18.91,72,96,7.25,GL,1614476227
cienfuegos,22.1461,-80.4356,78.8,69,15,10.36,CU,1614476631
tessalit,20.1986,1.0114,57.25,27,0,2.89,ML,1614476632
